County,Democratic,Democratic %,Republican,Republican %,Reform,Reform %,Other parties,Other parties %,Margin,Margin %,Total votes cast
Shannon,1882,49.58%,1339,35.27%,524,13.80%,51,1.34%,543,14.30%,3796
Shelby,1410,46.08%,1213,39.64%,413,13.50%,24,0.78%,197,6.44%,3060
Stoddard,4883,43.69%,5020,44.92%,1185,10.60%,88,0.79%,-137,-1.23%,11176
Stone,3497,34.42%,5223,51.40%,1353,13.32%,88,0.87%,-1726,-16.99%,10161
Sullivan,1402,45.91%,1275,41.75%,340,11.13%,37,1.21%,127,4.16%,3054
Taney,4623,35.13%,6844,52.01%,1580,12.01%,113,0.86%,-2221,-16.88%,13160
Texas,3897,41.28%,4065,43.06%,1335,14.14%,143,1.51%,-168,-1.78%,9440
Vernon,3363,43.82%,3123,40.70%,1135,14.79%,53,0.69%,240,3.13%,7674
Warren,3443,40.00%,3768,43.78%,1254,14.57%,142,1.65%,-325,-3.78%,8607
Washington,4315,54.97%,2259,28.78%,1169,14.89%,107,1.36%,2056,26.19%,7850
Wayne,2754,48.75%,2172,38.45%,674,11.93%,49,0.87%,582,10.30%,5649
Webster,3855,37.97%,4958,48.84%,1214,11.96%,125,1.23%,-1103,-10.86%,10152
Worth,572,44.93%,540,42.42%,150,11.78%,11,0.86%,32,2.51%,1273
Wright,2280,32.59%,3754,53.67%,890,12.72%,71,1.02%,-1474,-21.07%,6995
