County,Republican %,Republican,Democratic %,Democratic,Reform %,Reform,Green %,Green,Libertarian %,Libertarian,Other parties %,Other parties,Margin %,Margin
Garfield,44.43%,6281,40.47%,5722,11.05%,1562,2.61%,369,0.83%,117,0.62%,87,3.95%,559
Otero,45.13%,3356,45.53%,3386,7.81%,581,0.42%,31,0.28%,21,0.83%,62,-0.40%,-30
Clear_Creek,41.97%,1746,44.78%,1863,8.77%,365,1.90%,79,1.54%,64,1.03%,43,-2.81%,-117
Mineral,40.04%,179,42.95%,192,15.44%,69,0.22%,1,0.45%,2,0.89%,4,-2.91%,-13
Eagle,40.89%,4637,44.92%,5094,10.52%,1193,2.32%,263,0.88%,100,0.48%,54,-4.03%,-457
Bent,41.70%,917,47.57%,1046,9.50%,209,0.59%,13,0.09%,2,0.55%,12,-5.87%,-129
Alamosa,41.23%,2038,47.14%,2330,8.84%,437,1.62%,80,0.69%,34,0.49%,24,-5.91%,-292
Gilpin,38.12%,682,44.66%,799,10.29%,184,4.81%,86,1.62%,29,0.50%,9,-6.54%,-117
Routt,38.52%,3019,46.70%,3660,10.96%,859,1.88%,147,1.33%,104,0.61%,48,-8.18%,-641
Summit,38.73%,3261,47.16%,3970,9.78%,823,2.23%,188,1.41%,119,0.69%,58,-8.42%,-709
Gunnison,37.04%,2230,46.70%,2812,9.47%,570,4.72%,284,1.18%,71,0.90%,54,-9.67%,-582
Adams,38.92%,36666,51.28%,48314,7.65%,7206,0.92%,869,0.63%,596,0.60%,563,-12.36%,-11648
Saguache,36.48%,712,49.64%,969,8.20%,160,3.84%,75,0.87%,17,0.97%,19,-13.17%,-257
Huerfano,35.88%,996,53.42%,1483,7.56%,210,2.23%,62,0.32%,9,0.58%,16,-17.54%,-487
Boulder,34.55%,41922,52.17%,63316,5.64%,6840,5.58%,6772,1.21%,1469,0.85%,1035,-17.63%,-21394
Conejos,36.08%,1149,54.19%,1726,7.69%,245,0.82%,26,0.16%,5,1.07%,34,-18.12%,-577
Pueblo,34.60%,17402,57.24%,28791,6.71%,3374,0.75%,376,0.32%,159,0.40%,199,-22.64%,-11389
Lake,29.53%,728,54.28%,1338,11.12%,274,2.31%,57,1.54%,38,1.22%,30,-24.75%,-610
San_Miguel,28.18%,773,55.96%,1535,8.42%,231,4.23%,116,1.79%,49,1.42%,39,-27.78%,-762
Las_Animas,31.53%,1905,59.76%,3611,7.07%,427,0.55%,33,0.50%,30,0.60%,36,-28.24%,-1706
Pitkin,28.19%,1969,56.54%,3949,7.66%,535,5.23%,365,1.85%,129,0.54%,38,-28.35%,-1980
Denver,30.04%,58529,61.76%,120312,4.51%,8777,1.76%,3423,1.09%,2117,0.85%,1656,-31.71%,-61783
Costilla,20.29%,333,71.18%,1168,6.83%,112,1.28%,21,0.30%,5,0.12%,2,-50.88%,-835
