County,Democratic,Democratic %,Republican,Republican %,Reform,Reform %,Other parties,Other parties %,Margin,Margin %,Total votes cast<sup class="reference" id="cite_ref-7"><a href="#cite_note-7">[6]</a></sup>
McLean,22708,42.50%,26428,49.46%,3816,7.14%,483,0.90%,-3720,-6.96%,53088
Menard,2204,37.56%,3106,52.93%,534,9.10%,24,0.41%,-902,-15.37%,5857
Mercer,4278,54.17%,2688,34.04%,889,11.26%,42,0.53%,1590,20.13%,7871
Monroe,4798,41.60%,5350,46.38%,1276,11.06%,111,0.96%,-552,-4.79%,11500
Montgomery,6338,50.18%,4770,37.76%,1436,11.37%,87,0.69%,1568,12.41%,12584
Morgan,6150,43.19%,6352,44.61%,1633,11.47%,103,0.72%,-202,-1.42%,14179
Moultrie,2629,48.23%,2199,40.34%,596,10.93%,27,0.50%,430,7.89%,5430
Ogle,6765,36.90%,9558,52.13%,1876,10.23%,136,0.74%,-2793,-15.23%,18251
Peoria,37383,50.45%,30990,41.82%,5220,7.04%,509,0.69%,6393,8.63%,73773
Perry,5347,53.90%,3237,32.63%,1262,12.72%,75,0.76%,2110,21.27%,9898
Piatt,3274,44.17%,3265,44.05%,818,11.04%,55,0.74%,9,0.12%,7383
Pike,3604,45.32%,3225,40.56%,1039,13.07%,84,1.06%,379,4.77%,7914
Pope,915,44.55%,850,41.38%,277,13.49%,12,0.58%,65,3.16%,2047
Pulaski,1524,54.16%,1036,36.82%,235,8.35%,19,0.68%,488,17.34%,2805
Putnam,1425,51.56%,987,35.71%,322,11.65%,30,1.09%,438,15.85%,2745
Randolph,7419,50.65%,5422,37.02%,1698,11.59%,108,0.74%,1997,13.63%,14591
Richland,2679,39.31%,3137,46.03%,927,13.60%,72,1.06%,-458,-6.72%,6789
Rock_Island,34822,57.13%,20626,33.84%,5135,8.42%,372,0.61%,14196,23.29%,60718
Saline,6156,52.77%,3693,31.66%,1752,15.02%,64,0.55%,2463,21.11%,11624
Sangamon,38902,44.15%,42174,47.87%,6446,7.32%,583,0.66%,-3272,-3.71%,87791
Schuyler,1636,43.64%,1597,42.60%,483,12.88%,33,0.88%,39,1.04%,3729
Scott,1012,39.87%,1112,43.81%,396,15.60%,18,0.71%,-100,-3.94%,2528
Shelby,4249,43.41%,4215,43.06%,1262,12.89%,62,0.63%,34,0.35%,9756
St._Clair,53405,56.56%,33066,35.02%,7027,7.44%,931,0.99%,20339,21.54%,93908
Stark,1262,44.06%,1278,44.62%,312,10.89%,12,0.42%,-16,-0.56%,2859
Stephenson,7145,39.42%,8871,48.94%,1940,10.70%,169,0.93%,-1726,-9.52%,18020
Tazewell,24139,44.97%,24395,45.45%,4814,8.97%,330,0.61%,-256,-0.48%,53448
Union,4252,51.34%,3147,38.00%,832,10.05%,51,0.62%,1105,13.34%,8264
Vermilion,15525,49.55%,12015,38.35%,3577,11.42%,212,0.68%,3510,11.20%,31175
Wabash,2177,41.28%,2381,45.15%,683,12.95%,33,0.63%,-204,-3.87%,5256
Warren,3500,48.28%,2974,41.02%,742,10.23%,34,0.47%,526,7.26%,7227
Washington,2744,39.61%,3339,48.20%,790,11.40%,54,0.78%,-595,-8.59%,6902
Wayne,3054,37.52%,4029,49.50%,999,12.27%,58,0.71%,-975,-11.98%,8114
White,3553,48.33%,2878,39.15%,888,12.08%,33,0.45%,675,9.18%,7335
Whiteside,11913,51.03%,8859,37.95%,2436,10.44%,136,0.58%,3054,13.08%,23261
Will,69354,46.76%,62506,42.15%,15485,10.44%,959,0.65%,6848,4.62%,147689
Williamson,12510,49.50%,9734,38.52%,2877,11.38%,151,0.60%,2776,10.98%,25202
Winnebago,46264,46.31%,44479,44.52%,8192,8.20%,975,0.98%,1785,1.79%,99250
Woodford,5270,35.03%,8527,56.68%,1170,7.78%,76,0.51%,-3257,-21.65%,14997
