County,Democratic,Democratic %,Republican,Republican %,Reform,Reform %,Other parties,Other parties %,Margin,Margin %,Total votes cast
Morrow,4627,37.69%,5655,46.07%,1745,14.22%,248,2.02%,-1028,-8.37%,12275
Muskingum,13813,41.89%,13861,42.04%,4880,14.80%,418,1.27%,-48,-0.15%,32972
Noble,2366,42.91%,2183,39.59%,899,16.30%,66,1.20%,183,3.32%,5514
Ottawa,9321,49.35%,6991,37.01%,2438,12.91%,138,0.73%,2330,12.34%,18888
Paulding,3449,40.12%,3760,43.74%,1292,15.03%,95,1.11%,-311,-3.62%,8596
Perry,5819,46.75%,4606,37.00%,1854,14.90%,168,1.35%,1213,9.75%,12447
Pickaway,7042,40.24%,8666,49.52%,1702,9.73%,91,0.52%,-1624,-9.28%,17501
Pike,5542,51.38%,3759,34.85%,1402,13.00%,84,0.78%,1783,16.53%,10787
Portage,29441,50.55%,18939,32.52%,9178,15.76%,680,1.17%,10502,18.03%,58238
Preble,6611,38.59%,8139,47.50%,2235,13.05%,148,0.86%,-1528,-8.92%,17133
Putnam,4972,30.77%,9294,57.52%,1767,10.94%,125,0.77%,-4322,-26.75%,16158
Richland,20832,40.49%,23697,46.06%,6613,12.85%,309,0.60%,-2865,-5.57%,51451
Ross,12649,49.03%,10286,39.87%,2648,10.26%,214,0.83%,2363,9.16%,25797
Sandusky,11547,45.44%,10033,39.48%,3617,14.23%,216,0.85%,1514,5.96%,25413
Scioto,15041,48.01%,11679,37.28%,4418,14.10%,190,0.61%,3362,10.73%,31328
Seneca,10044,42.72%,9713,41.31%,3498,14.88%,256,1.09%,331,1.41%,23511
Shelby,6729,36.65%,8773,47.78%,2686,14.63%,174,0.95%,-2044,-11.13%,18362
Stark,73437,46.38%,60212,38.03%,23004,14.53%,1693,1.07%,13225,8.35%,158346
Summit,112050,52.07%,73555,34.18%,27723,12.88%,1867,0.87%,38495,17.89%,215195
Trumbull,55604,58.69%,24811,26.19%,13563,14.32%,767,0.81%,30793,32.50%,94745
Tuscarawas,15244,43.86%,13388,38.52%,5682,16.35%,441,1.27%,1856,5.34%,34755
Union,4989,33.25%,8290,55.26%,1596,10.64%,128,0.85%,-3301,-22.00%,15003
Van_Wert,4453,34.15%,6999,53.67%,1487,11.40%,102,0.78%,-2546,-19.52%,13041
Vinton,2350,48.85%,1673,34.77%,728,15.13%,60,1.25%,677,14.07%,4811
Warren,17089,30.84%,33210,59.94%,4689,8.46%,421,0.76%,-16121,-29.09%,55409
Washington,10945,42.13%,11965,46.06%,2832,10.90%,235,0.90%,-1020,-3.93%,25977
Wayne,14850,36.62%,19628,48.41%,5771,14.23%,299,0.74%,-4778,-11.78%,40548
Williams,5524,35.41%,7747,49.67%,2121,13.60%,206,1.32%,-2223,-14.25%,15598
Wood,23183,46.98%,20518,41.58%,5065,10.26%,577,1.17%,2665,5.40%,49343
Wyandot,3677,38.27%,4473,46.56%,1347,14.02%,110,1.14%,-796,-8.29%,9607
