County,Republican %,Republican,Democratic %,Democratic,Reform %,Reform,Libertarian %,Libertarian,Other parties %,Other parties,Margin %,Margin
Alleghany,45.71%,1936,42.53%,1801,10.81%,458,0.76%,32,0.19%,8,3.19%,135
Cleveland,47.71%,13474,45.07%,12728,6.84%,1931,0.25%,71,0.13%,37,2.64%,746
Wake,48.18%,108780,45.88%,103574,5.23%,11811,0.43%,979,0.27%,611,2.31%,5206
Pitt,47.95%,18227,46.18%,17555,5.36%,2037,0.24%,90,0.27%,102,1.77%,672
Pamlico,47.39%,2270,46.01%,2204,6.20%,297,0.33%,16,0.06%,3,1.38%,66
Pender,46.38%,5538,45.30%,5409,7.91%,945,0.25%,30,0.15%,18,1.08%,129
Sampson,47.82%,8241,47.30%,8150,4.79%,825,0.07%,12,0.02%,4,0.53%,91
Yancey,45.75%,3973,45.56%,3956,8.29%,720,0.21%,18,0.20%,17,0.20%,17
Brunswick,45.70%,10065,45.59%,10041,8.24%,1815,0.34%,75,0.12%,27,0.11%,24
Guilford,45.89%,67727,46.89%,69208,6.60%,9739,0.41%,605,0.21%,308,-1.00%,-1481
Buncombe,44.19%,30518,45.84%,31658,9.05%,6254,0.49%,335,0.44%,302,-1.65%,-1140
Mecklenburg,45.91%,97719,48.59%,103429,4.92%,10473,0.36%,772,0.21%,452,-2.68%,-5710
Madison,44.24%,3110,47.41%,3333,7.65%,538,0.23%,16,0.47%,33,-3.17%,-223
Jones,45.28%,1682,49.23%,1829,5.30%,197,0.13%,5,0.05%,2,-3.96%,-147
Camden,41.86%,1074,46.22%,1186,11.42%,293,0.27%,7,0.23%,6,-4.36%,-112
Cumberland,44.83%,29804,49.25%,32739,5.68%,3776,0.17%,114,0.07%,46,-4.41%,-2935
Duplin,43.83%,5432,49.86%,6179,6.18%,766,0.11%,14,0.01%,1,-6.03%,-747
Montgomery,43.11%,3379,49.20%,3856,7.49%,587,0.10%,8,0.10%,8,-6.09%,-477
Franklin,43.36%,5648,49.50%,6448,6.84%,891,0.22%,29,0.08%,10,-6.14%,-800
Haywood,39.84%,7995,46.59%,9350,12.93%,2594,0.38%,77,0.26%,53,-6.75%,-1355
Chatham,42.03%,7731,50.84%,9353,6.05%,1113,0.56%,103,0.52%,96,-8.82%,-1622
Jackson,40.40%,4244,49.60%,5211,9.23%,970,0.49%,51,0.29%,30,-9.20%,-967
Granville,42.95%,5498,52.71%,6747,3.38%,432,0.86%,110,0.10%,13,-9.76%,-1249
Martin,41.98%,3590,52.62%,4500,5.20%,445,0.18%,15,0.02%,2,-10.64%,-910
Swain,38.80%,1444,50.21%,1869,10.77%,401,0.16%,6,0.05%,2,-11.42%,-425
Caswell,40.57%,3310,52.86%,4312,6.25%,510,0.20%,16,0.12%,10,-12.28%,-1002
Perquimans,38.88%,1561,51.53%,2069,9.19%,369,0.30%,12,0.10%,4,-12.65%,-508
Chowan,38.80%,1659,52.36%,2239,8.40%,359,0.33%,14,0.12%,5,-13.56%,-580
Vance,39.97%,4651,54.88%,6385,4.94%,575,0.15%,17,0.06%,7,-14.90%,-1734
Pasquotank,38.34%,2999,54.12%,4233,7.22%,565,0.20%,16,0.12%,9,-15.78%,-1234
Hyde,38.30%,782,54.31%,1109,7.00%,143,0.29%,6,0.10%,2,-16.01%,-327
Bladen,37.22%,3335,55.27%,4952,7.31%,655,0.11%,10,0.09%,8,-18.05%,-1617
Columbus,36.96%,6017,55.40%,9019,7.19%,1170,0.42%,69,0.03%,5,-18.44%,-3002
Halifax,35.40%,5700,59.31%,9551,5.07%,816,0.15%,24,0.07%,12,-23.91%,-3851
Scotland,34.44%,2858,58.68%,4870,6.60%,548,0.13%,11,0.14%,12,-24.24%,-2012
Edgecombe,34.78%,6010,61.16%,10568,3.82%,660,0.18%,31,0.05%,9,-26.38%,-4558
Durham,34.39%,27825,60.79%,49186,3.86%,3122,0.41%,332,0.55%,445,-26.40%,-21361
Hoke,32.28%,1914,59.20%,3510,8.11%,481,0.24%,14,0.17%,10,-26.92%,-1596
Washington,34.47%,1562,61.56%,2790,3.77%,171,0.15%,7,0.04%,2,-27.10%,-1228
Tyrrell,32.25%,488,60.01%,908,7.40%,112,0.26%,4,0.07%,1,-27.76%,-420
Richmond,31.04%,3973,59.09%,7564,9.61%,1230,0.12%,16,0.14%,18,-28.05%,-3591
Orange,32.19%,15053,61.32%,28674,3.28%,1534,1.94%,906,1.28%,598,-29.13%,-13621
Gates,30.27%,1072,60.84%,2155,8.67%,307,0.17%,6,0.06%,2,-30.58%,-1083
Robeson,29.53%,8146,62.95%,17361,7.31%,2015,0.15%,40,0.07%,19,-33.41%,-9215
Anson,28.77%,2193,64.15%,4890,6.72%,512,0.26%,20,0.10%,8,-35.38%,-2697
Warren,29.36%,1861,65.33%,4141,5.03%,319,0.16%,10,0.13%,8,-35.97%,-2280
Bertie,27.83%,1745,67.01%,4202,5.04%,316,0.10%,6,0.03%,2,-39.18%,-2457
Hertford,25.86%,1823,68.89%,4856,5.05%,356,0.10%,7,0.10%,7,-43.03%,-3033
Northampton,25.08%,1881,69.44%,5207,5.36%,402,0.11%,8,0.01%,1,-44.35%,-3326
