County,Democratic,Democratic %,Republican,Republican %,Reform,Reform %,Other parties,Other parties %,Margin,Margin %,Total votes cast
Levy,4938,44.63%,4299,38.85%,1774,16.03%,54,0.49%,639,5.77%,11065
Liberty,868,40.11%,913,42.19%,376,17.38%,7,0.32%,-45,-2.08%,2164
Madison,2794,50.01%,2195,39.29%,578,10.35%,20,0.36%,599,10.72%,5587
Manatee,41891,43.24%,44136,45.56%,10363,10.70%,488,0.50%,-2245,-2.32%,96878
Marion,37045,41.08%,41409,45.92%,11341,12.58%,376,0.42%,-4364,-4.84%,90171
Martin,20855,38.16%,28522,52.18%,5005,9.16%,274,0.50%,-7667,-14.03%,54656
Miami-Dade,317555,57.34%,209740,37.87%,24729,4.47%,1758,0.32%,107815,19.47%,553782
Monroe,15251,46.86%,12076,37.11%,4824,14.82%,393,1.21%,3175,9.76%,32544
Nassau,7277,34.38%,12141,57.36%,1657,7.83%,92,0.43%,-4864,-22.98%,21167
Okaloosa,16462,26.11%,40683,64.53%,5433,8.62%,466,0.74%,-24221,-38.42%,63044
Okeechobee,4826,48.55%,3418,34.38%,1666,16.76%,31,0.31%,1408,14.16%,9941
Orange,105539,45.66%,106059,45.89%,18196,7.87%,1332,0.58%,-520,-0.22%,231126
Osceola,21874,47.05%,18337,39.44%,6092,13.10%,188,0.40%,3537,7.61%,46491
Palm_Beach,230687,58.06%,133811,33.68%,30744,7.74%,2112,0.53%,96876,24.38%,397354
Pasco,66475,49.80%,48355,36.23%,18013,13.50%,628,0.47%,18120,13.58%,133471
Pinellas,184748,49.10%,152155,40.44%,36994,9.83%,2375,0.63%,32593,8.66%,376272
Polk,66747,44.45%,67962,45.26%,14993,9.98%,471,0.31%,-1215,-0.81%,150173
Putnam,12010,47.75%,9786,38.91%,3272,13.01%,84,0.33%,2224,8.84%,25152
St._Johns,16716,34.43%,27318,56.27%,4205,8.66%,310,0.64%,-10602,-21.84%,48549
St._Lucie,36169,48.94%,28899,39.10%,8483,11.48%,355,0.48%,7270,9.84%,73906
Santa_Rosa,10936,25.79%,26301,62.02%,4961,11.70%,212,0.50%,-15365,-36.23%,42410
Sarasota,63665,42.73%,69213,46.46%,14941,10.03%,1167,0.78%,-5548,-3.72%,148986
Seminole,45058,39.21%,59797,52.04%,9357,8.14%,692,0.60%,-14739,-12.83%,114904
Sumter,7017,45.56%,5960,38.70%,2375,15.42%,48,0.31%,1057,6.86%,15400
Suwannee,4479,36.88%,5742,47.28%,1874,15.43%,49,0.40%,-1263,-10.40%,12144
Taylor,3583,44.80%,3188,39.86%,1140,14.26%,86,1.08%,395,4.94%,7997
Union,1388,40.09%,1636,47.26%,425,12.28%,13,0.38%,-248,-7.16%,3462
Volusia,78919,49.28%,63091,39.39%,17320,10.81%,828,0.52%,15828,9.88%,160158
Wakulla,3056,42.63%,2933,40.91%,1091,15.22%,89,1.24%,123,1.72%,7169
Walton,5342,34.42%,7709,49.68%,2342,15.09%,125,0.81%,-2367,-15.25%,15518
Washington,2992,38.06%,3524,44.83%,1287,16.37%,58,0.74%,-532,-6.77%,7861
