County,Republican,Republican %,Democratic,Democratic %,Reform,Reform %,Other parties,Other parties %,Margin,Margin %,Total votes cast
Madison,23151,43.38%,23772,44.54%,6447,12.08%,NA,NA,-621,-1.16%,53370
Marion,133329,47.77%,124448,44.58%,21358,7.65%,NA,NA,8881,3.18%,279135
Marshall,8158,53.17%,5486,35.76%,1698,11.07%,NA,NA,2672,17.42%,15342
Martin,2281,49.44%,1848,40.05%,485,10.51%,NA,NA,433,9.38%,4614
Miami,6719,53.17%,4260,33.71%,1657,13.11%,NA,NA,2459,19.46%,12636
Monroe,16744,43.54%,18531,48.19%,3179,8.27%,NA,NA,-1787,-4.65%,38454
Montgomery,7705,57.95%,3825,28.77%,1766,13.28%,NA,NA,3880,29.18%,13296
Morgan,12872,60.04%,5812,27.11%,2755,12.85%,NA,NA,7060,32.93%,21439
Newton,2075,43.47%,1897,39.74%,801,16.78%,NA,NA,178,3.73%,4773
Noble,6782,50.60%,5101,38.06%,1521,11.35%,NA,NA,1681,12.54%,13404
Ohio,1098,44.60%,1083,43.99%,281,11.41%,NA,NA,15,0.61%,2462
Orange,3355,45.90%,3016,41.26%,938,12.83%,NA,NA,339,4.64%,7309
Owen,3056,49.50%,2244,36.35%,874,14.16%,NA,NA,812,13.15%,6174
Parke,3151,47.85%,2453,37.25%,981,14.90%,NA,NA,698,10.60%,6585
Perry,2554,32.35%,4427,56.08%,913,11.57%,NA,NA,-1873,-23.73%,7894
Pike,2174,37.24%,2780,47.62%,884,15.14%,NA,NA,-606,-10.38%,5838
Porter,22931,42.35%,24044,44.41%,7169,13.24%,NA,NA,-1113,-2.06%,54144
Posey,4638,42.52%,4965,45.52%,1304,11.96%,NA,NA,-327,-3.00%,10907
Pulaski,2693,50.46%,2010,37.66%,634,11.88%,NA,NA,683,12.80%,5337
Putnam,5958,51.63%,3962,34.34%,1619,14.03%,NA,NA,1996,17.30%,11539
Randolph,4708,45.48%,4087,39.48%,1557,15.04%,NA,NA,621,6.00%,10352
Ripley,5303,49.95%,4097,38.59%,1216,11.45%,NA,NA,1206,11.36%,10616
Rush,3827,51.87%,2578,34.94%,973,13.19%,NA,NA,1249,16.93%,7378
Saint_Joseph,2620,36.50%,3798,52.91%,760,10.59%,NA,NA,-1178,-16.41%,7178
Scott,7778,51.76%,5374,35.76%,1874,12.47%,NA,NA,2404,16.00%,15026
Shelby,3770,44.01%,4058,47.37%,739,8.63%,NA,NA,-288,-3.36%,8567
Spencer,38281,41.45%,45704,49.48%,8379,9.07%,NA,NA,-7423,-8.04%,92364
Starke,3108,38.57%,3854,47.83%,1096,13.60%,NA,NA,-746,-9.26%,8058
Steuben,5513,50.00%,4124,37.40%,1390,12.61%,NA,NA,1389,12.60%,11027
Sullivan,3207,37.90%,4076,48.17%,1178,13.92%,NA,NA,-869,-10.27%,8461
Switzerland,1266,40.00%,1496,47.27%,403,12.73%,NA,NA,-230,-7.27%,3165
Tippecanoe,22556,49.92%,17232,38.14%,5394,11.94%,NA,NA,5324,11.78%,45182
Tipton,3980,54.38%,2478,33.86%,861,11.76%,NA,NA,1502,20.52%,7319
Union,1334,49.10%,1019,37.50%,364,13.40%,NA,NA,315,11.59%,2717
Vanderburgh,28509,43.48%,30934,47.17%,6132,9.35%,NA,NA,-2425,-3.70%,65575
Vermillion,2334,35.29%,3251,49.15%,1029,15.56%,NA,NA,-917,-13.86%,6614
Vigo,15751,41.20%,17974,47.01%,4508,11.79%,NA,NA,-2223,-5.81%,38233
Wabash,6990,54.35%,4577,35.59%,1294,10.06%,NA,NA,2413,18.76%,12861
Warren,1678,46.20%,1394,38.38%,560,15.42%,NA,NA,284,7.82%,3632
Warrick,9221,43.96%,9285,44.26%,2471,11.78%,NA,NA,-64,-0.31%,20977
Washington,4066,44.44%,3819,41.74%,1264,13.82%,NA,NA,247,2.70%,9149
Wayne,12188,47.58%,10905,42.57%,2525,9.86%,NA,NA,1283,5.01%,25618
Wells,6322,56.29%,3752,33.41%,1157,10.30%,NA,NA,2570,22.88%,11231
White,4642,48.11%,3396,35.20%,1610,16.69%,NA,NA,1246,12.91%,9648
Whitley,5965,51.72%,4176,36.21%,1392,12.07%,NA,NA,1789,15.51%,11533
