County,Democratic,Democratic %,Republican,Republican %,Reform,Reform %,Other parties,Other parties %,Margin,Margin %,Total votes cast
Lycoming,13516,34.44%,21535,54.88%,3855,9.82%,335,0.85%,-8019,-20.44%,39241
McKean,5509,37.05%,6838,45.99%,2350,15.80%,172,1.16%,-1329,-8.94%,14869
Mercer,23003,50.25%,17213,37.60%,5108,11.16%,455,0.99%,5790,12.65%,45779
Mifflin,5327,38.83%,6888,50.21%,1392,10.15%,111,0.81%,-1561,-11.38%,13718
Monroe,16547,42.36%,17326,44.35%,4650,11.90%,542,1.39%,-779,-1.99%,39065
Montgomery,143664,48.87%,121047,41.18%,24392,8.30%,4858,1.65%,22617,7.69%,293961
Montour,2183,37.57%,2785,47.93%,784,13.49%,59,1.02%,-602,-10.36%,5811
Northampton,43959,48.31%,35726,39.26%,9848,10.82%,1469,1.61%,8233,9.05%,91002
Northumberland,13418,41.41%,13551,41.82%,5173,15.97%,258,0.80%,-133,-0.41%,32400
Perry,4611,31.77%,8156,56.19%,1609,11.09%,139,0.96%,-3545,-24.42%,14515
Philadelphia,412988,77.44%,85345,16.00%,29329,5.50%,5615,1.05%,327643,61.44%,533277
Pike,5509,38.68%,6697,47.02%,1873,13.15%,165,1.16%,-1188,-8.34%,14244
Potter,2146,31.48%,3714,54.48%,925,13.57%,32,0.47%,-1568,-23.00%,6817
Schuylkill,24860,43.90%,22920,40.47%,8471,14.96%,378,0.67%,1940,3.43%,56629
Snyder,3405,29.25%,6742,57.91%,1451,12.46%,44,0.38%,-3337,-28.66%,11642
Somerset,12719,40.26%,14735,46.64%,3968,12.56%,169,0.53%,-2016,-6.38%,31591
Sullivan,1071,37.47%,1352,47.31%,418,14.63%,17,0.59%,-281,-9.83%,2858
Susquehanna,5912,37.81%,7354,47.03%,2266,14.49%,104,0.67%,-1442,-9.22%,15636
Tioga,4961,34.39%,7382,51.18%,1993,13.82%,89,0.62%,-2421,-16.78%,14425
Union,3658,31.20%,6570,56.04%,1431,12.21%,65,0.55%,-2912,-24.84%,11724
Venango,8205,41.97%,8398,42.96%,2777,14.21%,169,0.86%,-193,-0.99%,19549
Warren,7291,42.72%,7056,41.34%,2504,14.67%,216,1.27%,235,1.38%,17067
Washington,40952,52.67%,27777,35.73%,8661,11.14%,355,0.46%,13175,16.95%,77745
Wayne,5928,36.29%,8077,49.45%,2126,13.02%,203,1.24%,-2149,-13.16%,16334
Westmoreland,63686,44.43%,62058,43.30%,16230,11.32%,1355,0.95%,1628,1.14%,143329
Wyoming,4049,38.90%,4888,46.96%,1414,13.59%,57,0.55%,-839,-8.06%,10408
York,49596,38.70%,65188,50.87%,11652,9.09%,1720,1.34%,-15592,-12.17%,128156
