County,Republican,Republican %,Democratic,Democratic %,Independent,Independent %,Other parties,Other parties %,Margin,Margin %,Total votes cast
McCook,1292,47.45%,1166,42.82%,245,9.00%,20,0.73%,126,4.63%,2723
McPherson,1080,62.25%,463,26.69%,182,10.49%,10,0.58%,617,35.56%,1735
Meade,4984,54.32%,2960,32.26%,1133,12.35%,99,1.08%,2024,22.06%,9176
Mellette,417,52.26%,302,37.84%,67,8.40%,12,1.50%,115,14.41%,798
Miner,571,38.35%,739,49.63%,170,11.42%,9,0.60%,-168,-11.28%,1489
Minnehaha,27432,44.24%,29790,48.05%,4425,7.14%,357,0.58%,-2358,-3.80%,62004
Moody,1024,37.01%,1443,52.15%,284,10.26%,16,0.58%,-419,-15.14%,2767
Pennington,19293,54.32%,12784,36.00%,3149,8.87%,290,0.82%,6509,18.33%,35516
Perkins,983,58.10%,460,27.19%,225,13.30%,24,1.42%,523,30.91%,1692
Potter,979,57.52%,534,31.37%,181,10.63%,8,0.47%,445,26.15%,1702
Roberts,1646,37.99%,2186,50.45%,474,10.94%,27,0.62%,-540,-12.46%,4333
Sanborn,630,43.81%,647,44.99%,151,10.50%,10,0.70%,-17,-1.18%,1438
Oglala_Lakota,253,11.08%,1926,84.33%,87,3.81%,18,0.79%,-1673,-73.25%,2284
Spink,1651,45.00%,1636,44.59%,360,9.81%,22,0.60%,15,0.41%,3669
Stanley,795,57.53%,454,32.85%,121,8.76%,12,0.87%,341,24.67%,1382
Sully,592,57.76%,321,31.32%,106,10.34%,6,0.59%,271,26.44%,1025
Todd,482,24.21%,1380,69.31%,108,5.42%,21,1.05%,-898,-45.10%,1991
Tripp,1680,53.64%,1088,34.74%,337,10.76%,27,0.86%,592,18.90%,3132
Turner,1970,48.63%,1682,41.52%,385,9.50%,14,0.35%,288,7.11%,4051
Union,2234,42.90%,2378,45.67%,555,10.66%,40,0.77%,-144,-2.77%,5207
Walworth,1461,52.38%,939,33.67%,366,13.12%,23,0.82%,522,18.72%,2789
Yankton,3885,44.02%,3775,42.77%,1073,12.16%,93,1.05%,110,1.25%,8826
Ziebach,375,40.32%,483,51.94%,62,6.67%,10,1.08%,-108,-11.61%,930
