County,Republican,Republican %,Democratic,Democratic %, Independent, Independent %,Other parties,Other parties %,Margin,Margin %,Total votes cast
Simpson,4455,56.56%,2851,36.19%,525,6.66%,46,0.58%,1604,20.36%,7877
Smith,3371,58.47%,1858,32.23%,522,9.05%,14,0.24%,1513,26.24%,5765
Stone,2288,53.45%,1551,36.23%,417,9.74%,25,0.58%,737,17.22%,4281
Sunflower,2926,35.57%,4960,60.30%,290,3.53%,49,0.60%,-2034,-24.73%,8225
Tallahatchie,1676,34.00%,2990,60.65%,251,5.09%,13,0.26%,-1314,-26.65%,4930
Tate,3694,50.40%,3195,43.59%,406,5.54%,35,0.48%,499,6.81%,7330
Tippah,3249,46.80%,2992,43.10%,661,9.52%,40,0.58%,257,3.70%,6942
Tishomingo,2766,45.28%,2709,44.34%,609,9.97%,25,0.41%,57,0.93%,6109
Tunica,557,29.53%,1263,66.97%,55,2.92%,11,0.58%,-706,-37.43%,1886
Union,4375,51.14%,3316,38.76%,788,9.21%,76,0.89%,1059,12.38%,8555
Walthall,2239,45.27%,2240,45.29%,444,8.98%,23,0.47%,-1,-0.02%,4946
Warren,9261,47.77%,8774,45.26%,1259,6.49%,91,0.47%,487,2.51%,19385
Washington,6762,38.77%,10053,57.64%,437,2.51%,188,1.08%,-3291,-18.87%,17440
Wayne,3219,49.60%,2652,40.86%,595,9.17%,24,0.37%,567,8.74%,6490
Webster,2254,57.85%,1379,35.40%,255,6.55%,8,0.21%,875,22.46%,3896
Wilkinson,1016,24.77%,2807,68.43%,226,5.51%,53,1.29%,-1791,-43.66%,4102
Winston,3498,47.03%,3488,46.89%,434,5.83%,18,0.24%,10,0.13%,7438
Yalobusha,1711,38.04%,2437,54.18%,332,7.38%,18,0.40%,-726,-16.14%,4498
Yazoo,4152,44.49%,4754,50.94%,362,3.88%,65,0.70%,-602,-6.45%,9333
